identificador,CCID,Data / Entrega,Requisição,Cliente,Local de Entrega,Modelo,SLA de Inserção,SLA de Viagem,SLA de retirada,SLA / Envio ao Brasil,SLA da Operação,Data / Inserção,Data / Chegada no Destino,Data / Retirada,Data / Envio ao Brasil,Data / Brasil,BL,Container,Status / Operação,Reposição,Observação,latitude,longitude
787032,,2024-11-25,,Cooxupe,Guaxupe/SP,Tetis Dry,15.0,,,,,2024-12-10,,,,,,,Em viagem,Dentro do Prazo,,,
787033,,2024-11-13,,AltoCafezal,Patrocinio/MG,Tetis Dry,0.0,36,,,,2024-11-13,2024-12-19,,,,,,No destino,Fora do Prazo,,,
787036,,2024-10-07,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,49,7,,,2024-10-07,2024-11-25,2024-12-02,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
787039,,2024-11-25,,Nkg,Varginha/MG,Tetis Dry,10.0,,,,,2024-12-05,,,,,,,Em viagem,Dentro do Prazo,,,
787042,,,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,,,,,,,,Extraviado,Fora do Prazo,,,
787045,,,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,,,,,,,,Extraviado,Fora do Prazo,,,
787047,,,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,,,,,,,,Extraviado,Fora do Prazo,,,
787048,,2024-08-27,,Nkg,Varginha/MG,Tetis Dry,0.0,29,58,12.0,129.0,2024-08-27,2024-09-25,2024-11-22,2024-12-04,2025-01-03,,,Reversa finalizada,Fora do Prazo,,,
787049,-,2024-08-27,,BourbonCoffe,Poços de Caldas/MG,Tetis Dry,1.0,50,36,12.0,129.0,2024-08-28,2024-10-17,2024-11-22,2024-12-04,2025-01-03,,,Reversa finalizada,Fora do Prazo,,,
787053,,2024-07-29,,Nkg,Varginha/MG,Tetis Dry,0.0,73,41,8.0,144.0,2024-07-29,2024-10-10,2024-11-20,2024-11-28,2024-12-20,,,Reversa finalizada,Fora do Prazo,,,
787061,,2024-10-08,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,49,0,,,2024-10-08,2024-11-26,2024-11-26,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
787067,,2024-08-09,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-08-09,,,,,,,Em viagem,Fora do Prazo,,,
