id;identificador;CCID;Data / Entrega;Requisição;Cliente;Local de Entrega;Modelo;SLA de Inserção;SLA de Viagem;SLA de retirada;SLA / Envio ao Brasil;SLA da Operação;Data / Inserção;Data / Chegada no Destino;Data / Retirada;Data / Envio ao Brasil;Data / Brasil;BL;Container;Status / Operação;Reposição;Observação;latitude;longitude;Data / Embarque Maritimo;Data / Desembarque Maritimo;SLA Terrestre;SLA Maritimo;Local;Status do Container;Data do Desembarque
104;371730;;03/09/2024;;BourbonCoffe;Poços de Caldas/MG;Tetis Dry;0;64;16;12,00;122,00;03/09/2024;06/11/2024;22/11/2024;04/12/2024;03/01/2025;;;Reversa finalizada;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;03/01/2025
105;371732;;04/09/2024;;BourbonCoffe;Poços de Caldas/MG;Tetis Dry;0;63;16;12,00;121,00;04/09/2024;06/11/2024;22/11/2024;04/12/2024;03/01/2025;;;Reversa finalizada;Fora do Prazo;;;;;;0;0;;;
106;371738;;18/06/2024;;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;0;65;92;12,00;199,00;18/06/2024;22/08/2024;22/11/2024;04/12/2024;03/01/2025;;;Reversa finalizada;Fora do Prazo;;;;;;0;0;;;
107;371742;;02/09/2024;;BourbonCoffe;Poços de Caldas/MG;Tetis Dry;0;65;16;12,00;123,00;02/09/2024;06/11/2024;22/11/2024;04/12/2024;03/01/2025;;;Reversa finalizada;Fora do Prazo;;;;;;0;0;;;
108;371753;;04/09/2024;;BourbonCoffe;Poços de Caldas/MG;Tetis Dry;0;63;16;12,00;121,00;04/09/2024;06/11/2024;22/11/2024;04/12/2024;03/01/2025;;;Reversa finalizada;Fora do Prazo;;;;;;0;0;;;
109;510221;;27/11/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;7;;;;;04/12/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
110;510235;;20/11/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;20/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
111;510236;;10/12/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;0;;;;;10/12/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
112;510240;;24/07/2024;;BourbonCoffe;Poços de Caldas/MG;Tetis Dry;0;98;21;8,00;149,00;24/07/2024;30/10/2024;20/11/2024;28/11/2024;20/12/2024;;;Reversa finalizada;Fora do Prazo;;;;;;0;0;;;
113;510247;;01/10/2024;;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;0;;;;;01/10/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;;;
114;510252;;03/12/2024;;Volcafe;Varginha/MG;Tetis Dry;13;;;;;16/12/2024;;;;;;;Em viagem;Dentro do Prazo;;;;04/01/2025;15/02/2025;29;42;Porto de Antuérpia;Desembarcado;15/02/2025
115;510258;;29/10/2024;;Nkg;Varginha/MG;Tetis Dry;0;45;3;;;29/10/2024;13/12/2024;16/12/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;03/01/2025
116;510259;;22/08/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;0;98;1;;;22/08/2024;28/11/2024;29/11/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;;;
117;510260;;21/08/2024;;Nkg;Varginha/MG;Tetis Dry;0;55;0;;;21/08/2024;15/10/2024;15/10/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;Porto de Barcelona;Desembarcado;30/07/2024
118;510266;;12/08/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;0;63;28;;;12/08/2024;14/10/2024;11/11/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;01/06/2024
119;510270;;25/11/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;4;;;;;29/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
120;510273;;25/11/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;4;;;;;29/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;04/02/2025
121;510280;;25/11/2024;;BourbonCoffe;Poços de Caldas/MG;Tetis Dry;0;;;;;;;;;;;;Estoque Cliente;Dentro do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;03/01/2025
122;510281;;25/11/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;4;;;;;29/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
123;510286;;25/11/2024;;Nkg;Varginha/MG;Tetis Dry;1;42;3;14,00;;26/11/2024;07/01/2025;10/01/2025;24/01/2025;;;;Em reversa para o Brasil;Dentro do Prazo;;;;;;0;0;;;
124;510300;;18/11/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;18/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
125;510317;;19/11/2024;;VelosoGreen;Carmo do Paranaiba/MG;Tetis Dry;1;;;;;20/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
126;510322;;28/08/2024;;Nkg;Varginha/MG;Tetis Dry;0;61;0;;;28/08/2024;28/10/2024;28/10/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;;;
127;510329;;29/10/2024;;Expocaccer;Patrocinio/MG;Tetis Dry;0;;;;;29/10/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;17/12/2024
128;510330;;19/08/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;0;;;;;19/08/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;;;
129;510341;;19/11/2024;;Nkg;Varginha/MG;Tetis Dry;0;49;3;14,00;;19/11/2024;07/01/2025;10/01/2025;24/01/2025;;;;Em reversa para o Brasil;Dentro do Prazo;;;;;;0;0;Porto de Barcelona;Desembarcado;24/01/2025
130;510342;;20/11/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;20/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
131;510358;;23/08/2024;;Nkg;Varginha/MG;Tetis Dry;0;67;3;;;23/08/2024;29/10/2024;01/11/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;;;
132;510360;;27/08/2024;;Nkg;Varginha/MG;Tetis Dry;0;94;40;;;27/08/2024;29/11/2024;08/01/2025;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;11/02/2025
133;510369;;12/11/2024;;BourbonCoffe;Poços de Caldas/MG;Tetis Dry;0;;;;;12/11/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;;;
134;510371;;20/09/2024;;Nkg;Varginha/MG;Tetis Dry;0;40;21;8,00;91,00;20/09/2024;30/10/2024;20/11/2024;28/11/2024;20/12/2024;;;Reversa finalizada;Fora do Prazo;;;;;;0;0;;;
135;510374;;24/09/2024;;Nkg;Varginha/MG;Tetis Dry;0;104;2;;;24/09/2024;06/01/2025;08/01/2025;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;06/01/2025
136;510381;;09/11/2024;;Nkg;Varginha/MG;Tetis Dry;0;41;6;;;09/11/2024;20/12/2024;26/12/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;03/01/2025
137;510382;;19/11/2024;;VelosoGreen;Carmo do Paranaiba/MG;Tetis Dry;1;;;;;20/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
138;510387;;19/11/2024;;Expocaccer;Patrocinio/MG;Tetis Dry;0;;;;;19/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;17/12/2024
139;510388;;19/09/2024;;Nkg;Varginha/MG;Tetis Dry;0;41;21;8,00;92,00;19/09/2024;30/10/2024;20/11/2024;28/11/2024;20/12/2024;;;Reversa finalizada;Fora do Prazo;;;;;;0;0;;;
140;510398;;14/11/2024;;VelosoGreen;Carmo do Paranaiba/MG;Tetis Dry;0;;;;;14/11/2024;;;;;;;Em viagem;Fora do Prazo;;;;;;0;0;;;
141;510402;;30/08/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;15;58;1;;;14/09/2024;11/11/2024;12/11/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;07/10/2024;30/10/2024;6;23;Porto de Bremen;Desembarcado;31/10/2024
142;510413;;01/09/2024;;Nkg;Varginha/MG;Tetis Dry;0;36;44;8,00;110,00;01/09/2024;07/10/2024;20/11/2024;28/11/2024;20/12/2024;;;Reversa finalizada;Fora do Prazo;;;;;;0;0;;;
143;510417;;15/08/2024;;Nkg;Varginha/MG;Tetis Dry;0;96;0;;;15/08/2024;19/11/2024;19/11/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;;;
144;510510;;19/09/2024;;Nkg;Varginha/MG;Tetis Dry;61;-43;44;8,00;92,00;19/11/2024;07/10/2024;20/11/2024;28/11/2024;20/12/2024;;;Reversa finalizada;Fora do Prazo;;;;25/11/2024;17/12/2024;14;22;Porto de Antuérpia;Desembarcado;17/12/2024
145;510515;;19/11/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;19/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;Porto de Antuérpia;Desembarcado;06/01/2025
146;510525;;19/11/2024;;VelosoGreen;Carmo do Paranaiba/MG;Tetis Dry;1;;;;;20/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;Porto de Barcelona;Desembarcado;27/01/2025
147;510528;;28/08/2024;;VelosoGreen;Carmo do Paranaiba/MG;Tetis Dry;0;61;;;;28/08/2024;28/10/2024;;;;;;No destino;Fora do Prazo;;;;22/11/2024;05/01/2025;15;44;Porto de Bremen;Desembarcado;08/01/2025
148;510529;;15/08/2024;;Cooxupe;Guaxupe/SP;Tetis Dry;0;43;26;;;15/08/2024;27/09/2024;23/10/2024;;;;;Retirado, Ag. Envio;Fora do Prazo;;;;;;0;0;Porto de Barcelona;Desembarcado;28/11/2024
149;510539;;19/11/2024;;Nkg;Varginha/MG;Tetis Dry;0;;;;;19/11/2024;;;;;;;Em viagem;Dentro do Prazo;;;;;;0;0;;;
